barcode	fish5_s3_rep1	fish5_s3_rep2	fish5_s3_rep3	fish5_s4_rep1	fish5_s4_rep2	fish5_s4_rep3	fish5_s5_rep1	fish5_s5_rep2	fish5_s5_rep3	fish5_s6_rep1	fish5_s6_rep2	fish5_s6_rep3	fish5_s7_rep1	fish5_s7_rep2	fish5_s7_rep3	fish5_s8_rep1	fish5_s8_rep2	fish5_s8_rep3	fish5_s9_rep1	fish5_s9_rep2	fish5_s9_rep3	fish5_s10_rep1	fish5_s10_rep2	fish5_s10_rep3	fish5_s11_rep1	fish5_s11_rep2	fish5_s11_rep3	fish5_s12_rep1	fish5_s12_rep2	fish5_s12_rep3
NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE	1743.0	5144.0	5155.0	7148.0	7236.0	6838.0	1598.0	989.0	1689.0	3761.0	3600.0	4017.0	5960.0	5373.0	5478.0	1511.0	1257.0	2085.0	11424.0	10998.0	9057.0	2299.0	2932.0	3575.0	7457.0	14073.0	484.0	15576.0	13483.0	21991.0
1D+38_1D+64_NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE	527.0	791.0	810.0	1785.0	977.0	990.0	337.0	212.0	274.0	372.0	437.0	489.0	1435.0	1372.0	1313.0	393.0	203.0	382.0	1648.0	1780.0	1420.0	156.0	119.0	171.0						
NONE_2D+62_NONE_NONE_NONE_87D+167_87D+167_87D+167_87D+167_NONE	213.0	291.0	325.0	6894.0	4934.0	4924.0	6586.0	4487.0	6753.0	9608.0	11076.0	10925.0	10949.0	10002.0	9843.0	6461.0	5004.0	7877.0	5714.0	5924.0	5431.0	5481.0	5778.0	6647.0	2609.0	4189.0	3217.0	5636.0	5753.0	9204.0
54D+36_54D+36_54D+36_NONE_NONE_NONE_NONE_NONE_NONE_NONE	138.0	257.0	261.0	6073.0	5261.0	4259.0	5757.0	2962.0	5784.0	9277.0	9820.0	9837.0	12534.0	10526.0	11509.0	4823.0	3758.0	6560.0	7972.0	8667.0	8433.0	4385.0	4263.0	5776.0	1331.0	2542.0	804.0	3354.0	3364.0	5350.0
NONE_2D+62_NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE	121.0	333.0	295.0			143.0	213.0	115.0	178.0	464.0	394.0	435.0	469.0	294.0	358.0	107.0	88.0	181.0	305.0	356.0	216.0	105.0	140.0	201.0						525.0
162D+37_162D+37_162D+37_162D+37_162D+37_162D+37_162D+37_NONE_7D+244_NONE	54.0																													
NONE_NONE_NONE_NONE_108D+142_108D+142_108D+142_108D+142_108D+142_NONE	41.0	75.0	56.0																											
1D+38_NONE_NONE_NONE_NONE_6D+167_NONE_NONE_NONE_NONE	31.0	208.0	212.0	212.0	394.0	158.0	117.0	86.0		192.0	231.0	222.0	528.0	379.0	502.0	128.0	82.0	185.0	1031.0	964.0	910.0	319.0	191.0	424.0	267.0	589.0		461.0	503.0	1041.0
NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE_34D+232_NONE	26.0																													
3D+37_NONE_NONE_NONE_NONE_89D+168_89D+168_89D+168_89D+168_NONE	23.0																													
3D+37_NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE_NONE			45.0																											
5D+33_3D+64_NONE_NONE_1D+146_NONE_54D+199_54D+199_54D+199_NONE				589.0	385.0	291.0	530.0	369.0	494.0	678.0	888.0	814.0	1494.0	1016.0	1133.0	654.0	357.0	793.0	920.0	836.0	755.0	282.0	491.0	531.0					339.0	
NONE_NONE_NONE_NONE_NONE_82D+172_82D+172_82D+172_82D+172_NONE				297.0	287.0	379.0	378.0	260.0	279.0	810.0	673.0	609.0	887.0	802.0	899.0	483.0	351.0	661.0	653.0	838.0	572.0	256.0	222.0	403.0						
NONE_NONE_NONE_NONE_NONE_80D+174_80D+174_80D+174_80D+174_NONE					197.0																									
3D+35_NONE_NONE_NONE_27D+143_27D+143_54D+199_54D+199_54D+199_NONE					127.0																									
NONE_NONE_NONE_NONE_53D+146_53D+146_53D+146_NONE_2I+254+CT_NONE					123.0																									
12D+34_50D+63_50D+63_NONE_1I+145+A_NONE_NONE_NONE_NONE_NONE						229.0																								
4D+32&6I+40+CCTATC_6D+59_NONE_NONE_1D+145_3D+169_59D+200_59D+200_59D+200_NONE						152.0																								
NONE_54D+65_54D+65_54D+65_NONE_NONE_NONE_35D+222_35D+222_NONE							177.0	110.0	192.0	436.0	410.0	410.0	496.0	381.0	381.0	323.0	252.0	323.0	450.0	425.0	456.0	154.0	145.0	258.0						
54D+36_54D+36_54D+36_NONE_NONE_NONE_NONE_NONE_1D+254_NONE								80.0	95.0	301.0	396.0	338.0	412.0	390.0	481.0	320.0	194.0	252.0	469.0	303.0	526.0	131.0	250.0	296.0				248.0		
NONE_NONE_NONE_NONE_NONE_89D+168_89D+168_89D+168_89D+168_NONE										153.0																				
54D+36_54D+36_54D+36_NONE_NONE_NONE_NONE_NONE_7D+244_NONE										150.0																				
NONE_NONE_NONE_81D+120_81D+120_81D+120_81D+120_NONE_NONE_NONE																104.0														
54D+36_54D+36_54D+36_NONE_1I+145+A_NONE_NONE_NONE_NONE_NONE																								183.0						
3D+35_81D+61_81D+61_81D+61_81D+61_NONE_NONE_NONE_NONE_NONE																									157.0	416.0	268.0			
2D+36_81D+61_81D+61_81D+61_81D+61_1D+172_NONE_NONE_NONE_NONE																										498.0				
NONE_81D+61_81D+61_81D+61_81D+61_NONE_NONE_NONE_NONE_NONE																														387.0
